Name             Start           	Size            
pgpt             0x0000000000000000	0x0000000000080000
PRO_INFO         0x0000000000080000	0x000000000001fc00
NVRAM            0x0000000000100000	0x0000000000500000
TEE1             0x0000000000600000	0x0000000000500000
TEE2             0x0000000000b00000	0x0000000000500000
lk               0x0000000001000000	0x0000000000100000
boot             0x0000000001100000	0x0000000001900000
recovery         0x0000000002a00000	0x0000000001900000
KB               0x0000000004300000	0x0000000000100000
DKB              0x0000000004400000	0x0000000000100000
MISC             0x0000000004500000	0x0000000000080000
LOGO             0x0000000004580000	0x0000000000800000
EXPDB            0x0000000004d80000	0x0000000000b60000
system           0x00000000058e0000	0x000000004b9c4000
cache            0x00000000512a4000	0x000000000fa00000
userdata         0x0000000060ca4000	0x0000000171357e00
sgpt             0x00000001d1ffbe00	0x0000000000080000
